,Sentence,Parser Outputs
1325,ona li lawa pona e jan.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_t(lawa),adverb(pona)),obj_d(noun(jan)))))"
1327,ona li lon ala lon tomo?,"s(int(yes_no(subj_p(pronoun(ona)),pred_p(verb_i(lon),adverb(ala),verb_i(lon),obj_i(noun(tomo))))))"
1333,ona li lukin e jan lawa lete.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(lukin),obj_d((noun(jan),adjective(lawa),adjective(lete))))))"
1335,ona li lukin e ma Amelika!,"s(exc(subj_p(pronoun(ona)),pred_p(verb_t(lukin),obj_d((noun(ma),unofficial_country(unknown(Amelika)))))))"
1336,"ona li lukin e ma, lon poka seme?","s(int(where(subj_p(pronoun(ona)),pred_p(verb_t(lukin),obj_d(noun(ma)),obj_p(preposition(lon),noun(poka),pronoun_interrogative(seme))))))"
1337,ona li lukin e pipi.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(lukin),obj_d(noun(pipi)))))"
1338,ona li lukin e soweli suli.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(lukin),obj_d((noun(soweli),adjective(suli))))))"
1342,ona li mama ala mama?,"s(int(yes_no(subj_p(pronoun(ona)),pred_p(verb_t(mama),adverb(ala),verb_t(mama)))))"
1344,ona li meli Isapela.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_i(be),(noun(meli),unofficial_female_name(unknown(Isapela))))))"
1345,ona li moku e kili.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(kili)))))"
1346,ona li moku e moku!,"s(exc(subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1347,ona li moku e moku.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1348,ona li moku e moku li jo e kili li pali e tomo li toki e ni.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(moku),obj_d(noun(moku))),pred_p(pred_p(verb_t(jo),obj_d(noun(kili)))),pred_p(pred_p(verb_t(pali),obj_d(noun(tomo)))),pred_p(pred_p(verb_t(toki),obj_d(pronoun(ni)))))))"
1349,ona li moku e moku li jo e kili li toki e ni.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(moku),obj_d(noun(moku))),pred_p(pred_p(verb_t(jo),obj_d(noun(kili)))),pred_p(pred_p(verb_t(toki),obj_d(pronoun(ni)))))))"
1350,ona li moku e moku li toki e ni.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(moku),obj_d(noun(moku))),pred_p(pred_p(verb_t(toki),obj_d(pronoun(ni)))))))"
1351,"ona li moku e moku, lon poka seme?","s(int(where(subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(moku)),obj_p(preposition(lon),noun(poka),pronoun_interrogative(seme))))))"
1352,"ona li moku e moku, lon seme?","s(int(where(subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(moku)),obj_p(preposition(lon),pronoun_interrogative(seme))))))"
1353,ona li moku e seme?,"s(int(what_d_object(subj_p(pronoun(ona)),pred_p(verb_t(moku),obj_d(pronoun_interrogative(seme))))))"
1355,ona li moku seme?,"s(int(what_is_object(subj_p(pronoun(ona)),pred_p(verb_i(be),(noun(moku),pronoun_interrogative(seme))))))"
1358,ona li olin e toki pona.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(olin),obj_d((noun(toki),adjective(pona))))))"
1359,ona li open e toki utala.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(open),obj_d((noun(toki),adjective(utala))))))"
1360,ona li pakala e ijo e jan pona seme?,"s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(ijo))),obj_d(noun(jan),adjective(pona),pronoun_interrogative(seme))))))"
1361,ona li pakala e ijo e jan seme?,"s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(ijo))),obj_d(noun(jan),pronoun_interrogative(seme))))))"
1362,ona li pakala e ijo e meli pona seme?,"s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(ijo))),obj_d(noun(meli),adjective(pona),pronoun_interrogative(seme))))))"
1363,ona li pakala e ijo e meli seme?,"s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(ijo))),obj_d(noun(meli),pronoun_interrogative(seme))))))"
1364,ona li pakala e ijo e mije pona seme?,"s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(ijo))),obj_d(noun(mije),adjective(pona),pronoun_interrogative(seme))))))"
1365,ona li pakala e ijo e mije seme?,"s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(ijo))),obj_d(noun(mije),pronoun_interrogative(seme))))))"
1366,ona li pakala e ijo pona seme?,"s(int(which_object(subj_p(pronoun(ona)),pred_p(verb_t(pakala),obj_d(noun(ijo),adjective(pona),pronoun_interrogative(seme))))))"
1367,ona li pakala e ijo seme?,"s(int(which_object(subj_p(pronoun(ona)),pred_p(verb_t(pakala),obj_d(noun(ijo),pronoun_interrogative(seme))))))"
1368,"ona li pakala e ijo tan, tan seme?","s(int(why_object(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d((noun(ijo),adjective(tan)))),obj_p(preposition(tan),pronoun_interrogative(seme))))))"
1369,ona li pakala e tomo pona seme?,"s(int(which_object(subj_p(pronoun(ona)),pred_p(verb_t(pakala),obj_d(noun(tomo),adjective(pona),pronoun_interrogative(seme))))))"
1370,ona li pakala e tomo seme?,"s(int(which_object(subj_p(pronoun(ona)),pred_p(verb_t(pakala),obj_d(noun(tomo),pronoun_interrogative(seme))))))"
1371,"ona li pakala e tomo, tan jan mije seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(jan),adjective(mije),pronoun_interrogative(seme))))))"
1372,"ona li pakala e tomo, tan jan seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(jan),pronoun_interrogative(seme))))))"
1373,"ona li pakala e tomo, tan jan sona seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(jan),adjective(sona),pronoun_interrogative(seme))))))"
1374,"ona li pakala e tomo, tan meli pona seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(meli),adjective(pona),pronoun_interrogative(seme))))))"
1375,"ona li pakala e tomo, tan meli seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(meli),pronoun_interrogative(seme))))))"
1376,"ona li pakala e tomo, tan mije pona seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(mije),adjective(pona),pronoun_interrogative(seme))))))"
1377,"ona li pakala e tomo, tan mije seme?","s(int(whom(subj_p(pronoun(ona)),(pred_p(verb_t(pakala),obj_d(noun(tomo))),obj_p(preposition(tan),noun(mije),pronoun_interrogative(seme))))))"
1379,ona li pali e sitelen ma.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pali),obj_d((noun(sitelen),adjective(ma))))))"
1385,ona li pana e selo suno ona tawa kala ante.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pana),obj_d((noun(selo),adjective(suno),pronoun(ona))),obj_p(preposition(tawa),(noun(kala),adjective(ante))))))"
1389,ona li pilin e kon pi telo mama tan poki insa.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pilin),obj_d((noun(kon),noun(telo),adjective(mama))),obj_p(preposition(tan),(noun(poki),adjective(insa))))))"
1390,ona li pilin e len lawa ona li sona e ni: ona li pali kin e ike.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(pilin),obj_d((noun(len),adjective(lawa),pronoun(ona)))),pred_p(pred_p(verb_t(sona),obj_d(pronoun(ni))))),subj_p(pronoun(ona)),pred_p((verb_t(pali),adverb(kin)),obj_d(noun(ike)))))"
1392,ona li pilin e ni: ona li len e len pi meli sewi.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pilin),obj_d(pronoun(ni))),subj_p(pronoun(ona)),pred_p(verb_t(len),obj_d((noun(len),noun(meli),adjective(sewi))))))"
1394,ona li pona e ilo.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pona),obj_d(noun(ilo)))))"
1395,ona li pona e tawa.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pona),obj_d(noun(tawa)))))"
1396,ona li pona e toki insa mi.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(pona),obj_d((noun(toki),adjective(insa),pronoun(mi))))))"
1405,ona li seli e soweli e pan.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(seli),(obj_d(noun(soweli)),obj_d(noun(pan))))))"
1408,"ona li seme e ijo, kepeken ilo?","s(int(what_verb(subj_p(pronoun(ona)),pred_p(verb_t(pronoun_interrogative(seme)),obj_d(noun(ijo)),obj_p(preposition(kepeken),noun(ilo))))))"
1409,ona li seme sitelen pi ilo nanpa?,"s(int(what_verb(subj_p(pronoun(ona)),pred_p(verb_i(pronoun_interrogative(seme)),obj_i((noun(sitelen),noun(ilo),adjective(nanpa)))))))"
1410,"ona li seme sitelen pi ilo nanpa, kepeken oko?","s(int(what_verb(subj_p(pronoun(ona)),pred_p(verb_i(pronoun_interrogative(seme)),obj_i((noun(sitelen),noun(ilo),adjective(nanpa))),obj_p(preposition(kepeken),noun(oko))))))"
1412,ona li sewi e sinpin ona li moku e kasi.,"s(dec(subj_p(pronoun(ona)),(pred_p(verb_t(sewi),obj_d((noun(sinpin),pronoun(ona)))),pred_p(pred_p(verb_t(moku),obj_d(noun(kasi)))))))"
1415,ona li tawa ala tawa ma ike?,"s(int(yes_no(subj_p(pronoun(ona)),pred_p(verb_i(tawa),adverb(ala),verb_i(tawa),obj_i((noun(ma),adjective(ike)))))))"
1416,ona li tawa ala tawa ni?,"s(int(yes_no(subj_p(pronoun(ona)),pred_p(verb_i(tawa),adverb(ala),verb_i(tawa),obj_i(pronoun(ni))))))"
1419,"ona li tawa e kiwen, kepeken ona, tawa anpa seme?","s(int(where_to(subj_p(pronoun(ona)),(pred_p(verb_t(tawa),obj_d(noun(kiwen)),obj_p(preposition(kepeken),pronoun(ona))),obj_p(preposition(tawa),noun(anpa),pronoun_interrogative(seme))))))"
1421,"ona li tawa e kiwen, tawa seme?","s(int(where_to(subj_p(pronoun(ona)),(pred_p(verb_t(tawa),obj_d(noun(kiwen))),obj_p(preposition(tawa),pronoun_interrogative(seme))))))"
1422,ona li tawa e len mi.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(tawa),obj_d((noun(len),pronoun(mi))))))"
1430,ona li toki e mu.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(toki),obj_d(noun(mu)))))"
1431,ona li toki e ni.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(toki),obj_d(pronoun(ni)))))"
1433,ona li toki e ni: o pana e seli ni tawa kulupu sina.,"s(imp(subj_p(pronoun(ona)),pred_p(verb_t(toki),obj_d(pronoun(ni))),com(subj_p(interjection(o)),pred_p(verb_t(pana),obj_d((noun(seli),pronoun(ni))),obj_p(preposition(tawa),(noun(kulupu),pronoun(sina)))))))"
1443,ona li tomo pi toki pona en tomo pi nanpa wan!,"s(exc(subj_p(pronoun(ona)),pred_p(verb_i(be),(noun(tomo),((noun(toki),adjective(pona)),conj(en),noun(tomo)),noun(nanpa),card(numeral(wan))))))"
1444,ona li unpa ala unpa sina?,"s(int(yes_no(subj_p(pronoun(ona)),pred_p(verb_i(unpa),adverb(ala),verb_i(unpa),obj_i(pronoun(sina))))))"
1447,ona li weka anpa e selo wan pi palisa noka.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_t(weka),adverb(anpa)),obj_d(((noun(selo),card(numeral(wan))),noun(palisa),adjective(noka))))))"
1449,ona li weka e selo seli pini tawa jan Mawi.,"s(dec(subj_p(pronoun(ona)),pred_p(verb_t(weka),obj_d((noun(selo),adjective(seli),adjective(pini))),obj_p(preposition(tawa),(noun(jan),unofficial_person_name(unknown(Mawi)))))))"
1452,ona li wile ala kute e ni.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_p(wile),adverb(ala),verb_t(kute)),obj_d(pronoun(ni)))))"
1455,ona li wile jo e ilo.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_p(wile),verb_t(jo)),obj_d(noun(ilo)))))"
1456,ona li wile jo e pipi e ijo.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_p(wile),verb_t(jo)),(obj_d(noun(pipi)),obj_d(noun(ijo))))))"
1457,ona li wile kepeken.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_p(wile),verb_i(kepeken)))))"
1459,ona li wile mute kepeken.,"s(dec(subj_p(pronoun(ona)),pred_p((verb_p(wile),adverb(mute),verb_i(kepeken)))))"
1469,o nanpa e ona kepeken luka.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(nanpa),obj_d(pronoun(ona)),obj_p(preposition(kepeken),noun(luka))))))"
1470,ona pona,"headline(obj_i((pronoun(ona),adjective(pona))))"
1473,ona pona kin,"headline(obj_i((pronoun(ona),adjective(pona),adjective(kin))))"
1474,ona pona li moku e moku.,"s(dec(subj_p((pronoun(ona),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1475,ona pona li tawa ala tawa ni?,"s(int(yes_no(subj_p((pronoun(ona),adjective(pona))),pred_p(verb_i(tawa),adverb(ala),verb_i(tawa),obj_i(pronoun(ni))))))"
1479,o olin e jan poka.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(olin),obj_d((noun(jan),adjective(poka)))))))"
1480,o olin e mi!,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(olin),obj_d(pronoun(mi))))))"
1481,o open e lupa.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(open),obj_d(noun(lupa))))))"
1484,o pali e toki mi!,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(pali),obj_d((noun(toki),pronoun(mi)))))))"
1488,"o pana e namako, tawa mi!","s(imp(com(subj_p(interjection(o)),pred_p(verb_t(pana),obj_d(noun(namako)),obj_p(preposition(tawa),pronoun(mi))))))"
1492,o pilin ala e ni: sewi li pana e nasin taso.,"s(imp(com(subj_p(interjection(o)),pred_p((verb_t(pilin),adverb(ala)),obj_d(pronoun(ni)))),subj_p(noun(sewi)),pred_p(verb_t(pana),obj_d((noun(nasin),adjective(taso))))))"
1493,o pilin e nena.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(pilin),obj_d(noun(nena))))))"
1495,o pilin e uta mi kepeken uta sina.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(pilin),obj_d((noun(uta),pronoun(mi))),obj_p(preposition(kepeken),(noun(uta),pronoun(sina)))))))"
1496,o pona e tomo!,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(pona),obj_d(noun(tomo))))))"
1500,o tawa e utala.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(tawa),obj_d(noun(utala))))))"
1509,o tu e palisa ni.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(tu),obj_d((noun(palisa),pronoun(ni)))))))"
1511,o weka ala e suno mi!,"s(imp(com(subj_p(interjection(o)),pred_p((verb_t(weka),adverb(ala)),obj_d((noun(suno),pronoun(mi)))))))"
1514,o weka e len sina.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(weka),obj_d((noun(len),pronoun(sina)))))))"
1516,o weka e nimi ike.,"s(imp(com(subj_p(interjection(o)),pred_p(verb_t(weka),obj_d((noun(nimi),adjective(ike)))))))"
1521,pali li pana e sona.,"s(dec(subj_p(noun(pali)),pred_p(verb_t(pana),obj_d(noun(sona)))))"
1522,pali pona!,"s(exc(salut(salu_p(noun(pali),adjective(pona)))))"
1523,pali sina li pakala e nimi pona pi tomo meli ni!,"s(exc(subj_p((noun(pali),pronoun(sina))),pred_p(verb_t(pakala),obj_d(((noun(nimi),adjective(pona)),noun(tomo),adjective(meli),pronoun(ni))))))"
1526,pilin ike,"headline(obj_i((noun(pilin),adjective(ike))))"
1527,pilin pona li pana e sijelo pona.,"s(dec(subj_p((noun(pilin),adjective(pona))),pred_p(verb_t(pana),obj_d((noun(sijelo),adjective(pona))))))"
1528,pimeja li ijo seme?,"s(int(what_is_object(subj_p(noun(pimeja)),pred_p(verb_i(be),(noun(ijo),pronoun_interrogative(seme))))))"
1531,pipi jaki li moku lili e noka mi.,"s(dec(subj_p((noun(pipi),adjective(jaki))),pred_p((verb_t(moku),adverb(lili)),obj_d((noun(noka),pronoun(mi))))))"
1533,pipi li lon ala lon poka mi?,"s(int(yes_no(subj_p(noun(pipi)),pred_p(verb_i(lon),adverb(ala),verb_i(lon),obj_i((noun(poka),pronoun(mi)))))))"
1537,pipi li moku ala moku e kili?,"s(int(yes_no(subj_p(noun(pipi)),pred_p(verb_t(moku),adverb(ala),verb_t(moku),obj_d(noun(kili))))))"
1538,pipi li moku e kasi.,"s(dec(subj_p(noun(pipi)),pred_p(verb_t(moku),obj_d(noun(kasi)))))"
1539,pipi li moku e mi.,"s(dec(subj_p(noun(pipi)),pred_p(verb_t(moku),obj_d(pronoun(mi)))))"
1549,pona mute!,"s(exc(salut(salu_p(noun(pona),adjective(mute)))))"
1550,pona mute mute!,"s(exc(salut(salu_p(noun(pona),adjective(mute),adjective(mute)))))"
1551,pona mute mute mute!,"s(exc(salut(salu_p(noun(pona),adjective(mute),adjective(mute),adjective(mute)))))"
1552,pona tawa sina!,"s(exc(salut(salu_p(noun(pona),preposition(tawa),pronoun(sina)))))"
1553,"pona, tawa sina!","s(exc(salut(salu_p(noun(pona),preposition(tawa),pronoun(sina)))))"
1554,pu la mi wile pana e selo pini pi toki pona.,"s(dec(cond_p(noun(pu)),subj_p(pronoun(mi)),pred_p((verb_p(wile),verb_t(pana)),obj_d(((noun(selo),adjective(pini)),noun(toki),adjective(pona))))))"
1555,sama la seli en kon li kama e telo.,"s(dec(cond_p(noun(sama)),subj_p((noun(seli),conj(en),noun(kon))),pred_p(verb_t(kama),obj_d(noun(telo)))))"
1563,seli li sike e jan Mawi.,"s(dec(subj_p(noun(seli)),pred_p(verb_t(sike),obj_d((noun(jan),unofficial_person_name(unknown(Mawi)))))))"
1567,seli suno li seli e tomo mi.,"s(dec(subj_p((noun(seli),adjective(suno))),pred_p(verb_t(seli),obj_d((noun(tomo),pronoun(mi))))))"
1570,selo mi li wile e ni: mi pilin e ona.,"s(dec(subj_p((noun(selo),pronoun(mi))),pred_p(verb_t(wile),obj_d(pronoun(ni))),subj_p(pronoun(mi)),pred_p(verb_t(pilin),obj_d(pronoun(ona)))))"
1572,seme?,s(int(pardon(pronoun_interrogative(seme))))
1573,seme la sina kama jo e mani?,"s(int(cond_p(pardon(pronoun_interrogative(seme))),subj_p(pronoun(sina)),pred_p((verb_p(kama),verb_t(jo)),obj_d(noun(mani)))))"
1574,seme la sina pilin e ni?,"s(int(cond_p(pardon(pronoun_interrogative(seme))),subj_p(pronoun(sina)),pred_p(verb_t(pilin),obj_d(pronoun(ni)))))"
1577,seme li moku e kili?,"s(int(what_subject(subj_p(pronoun_interrogative(seme)),pred_p(verb_t(moku),obj_d(noun(kili))))))"
1578,seme li moku e moku?,"s(int(what_subject(subj_p(pronoun_interrogative(seme)),pred_p(verb_t(moku),obj_d(noun(moku))))))"
1579,seme li pakala e ilo?,"s(int(what_subject(subj_p(pronoun_interrogative(seme)),pred_p(verb_t(pakala),obj_d(noun(ilo))))))"
1582,seme li utala e sina?,"s(int(what_subject(subj_p(pronoun_interrogative(seme)),pred_p(verb_t(utala),obj_d(pronoun(sina))))))"
1585,sewi li open e telo suwi kepeken luka wawa.,"s(dec(subj_p(noun(sewi)),pred_p(verb_t(open),obj_d((noun(telo),adjective(suwi))),obj_p(preposition(kepeken),(noun(luka),adjective(wawa))))))"
1604,sina anu ona li moku e moku?,"s(int(decision_subject(subj_p(pronoun(sina),conj(anu),pronoun(ona)),pred_p(verb_t(moku),obj_d(noun(moku))))))"
1605,sina awen e ale.,"s(dec(subj_p(pronoun(sina)),pred_p(verb_t(awen),obj_d(noun(ale)))))"
1607,sina en ona anu sina en mi li moku e moku?,"s(int(decision_subject(subj_p((pronoun(sina),conj(en),pronoun(ona)),conj(anu),(pronoun(sina),conj(en),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
1609,sina jan Mawi pi jan Talana anu seme?,"s(int(or_what(subj_p(pronoun(sina)),(pred_p(verb_i(be),((noun(jan),unofficial_person_name(unknown(Mawi))),noun(jan),unofficial_person_name(unknown(Talana)))),conj(anu),pronoun_interrogative(seme)))))"
1614,sina jo e ilo MIRC la o pilin e nena ni.,"s(imp(cond_p(subj_p(pronoun(sina)),pred_p(verb_t(jo),obj_d((noun(ilo),unofficial_thing(known_thing(MIRC)))))),com(subj_p(interjection(o)),pred_p(verb_t(pilin),obj_d((noun(nena),pronoun(ni)))))))"
1615,sina jo e ilo seme?,"s(int(which_object(subj_p(pronoun(sina)),pred_p(verb_t(jo),obj_d(noun(ilo),pronoun_interrogative(seme))))))"
1620,sina kama jo e jan pona.,"s(dec(subj_p(pronoun(sina)),pred_p((verb_p(kama),verb_t(jo)),obj_d((noun(jan),adjective(pona))))))"
1625,"sina kama, tan ma seme?","s(int(where_from(subj_p(pronoun(sina)),pred_p(verb_t(kama),obj_p(preposition(tan),noun(ma),pronoun_interrogative(seme))))))"
1636,sina ken sona e toki ni la sina sona e toki pona.,"s(dec(cond_p(subj_p(pronoun(sina)),pred_p((verb_p(ken),verb_t(sona)),obj_d((noun(toki),pronoun(ni))))),subj_p(pronoun(sina)),pred_p(verb_t(sona),obj_d((noun(toki),adjective(pona))))))"
1637,sina kepeken ala kepeken ni?,"s(int(yes_no(subj_p(pronoun(sina)),pred_p(verb_i(kepeken),adverb(ala),verb_i(kepeken),obj_i(pronoun(ni))))))"
1642,sina kipisi e seme?,"s(int(what_d_object(subj_p(pronoun(sina)),pred_p(verb_t(kipisi),obj_d(pronoun_interrogative(seme))))))"
1643,"sina kipisi e seme, kepeken ilo?","s(int(what_d_object(subj_p(pronoun(sina)),pred_p(verb_t(kipisi),obj_d(pronoun_interrogative(seme)),obj_p(preposition(kepeken),noun(ilo))))))"
1644,"sina kipisi e seme, kepeken ilo ni?","s(int(what_d_object(subj_p(pronoun(sina)),pred_p(verb_t(kipisi),obj_d(pronoun_interrogative(seme)),obj_p(preposition(kepeken),(noun(ilo),pronoun(ni)))))))"
1645,sina kute ala kute e mama sina?,"s(int(yes_no(subj_p(pronoun(sina)),pred_p(verb_t(kute),adverb(ala),verb_t(kute),obj_d((noun(mama),pronoun(sina)))))))"
1647,sina lon ala lon supa?,"s(int(yes_no(subj_p(pronoun(sina)),pred_p(verb_i(lon),adverb(ala),verb_i(lon),obj_i(noun(supa))))))"
1649,sina lon ona pona anu tomo suli.,"s(dec(subj_p(pronoun(sina)),pred_p(verb_i(lon),obj_i((pronoun(ona),adjective(pona)),obj_a(conj(anu),(noun(tomo),adjective(suli)))))))"
1656,sina lukin e nena Proceed la o pilin e ona.,"s(imp(cond_p(subj_p(pronoun(sina)),pred_p(verb_t(lukin),obj_d((noun(nena),unofficial_thing(known_thing(Proceed)))))),com(subj_p(interjection(o)),pred_p(verb_t(pilin),obj_d(pronoun(ona))))))"
1657,sina lukin e seme?,"s(int(what_d_object(subj_p(pronoun(sina)),pred_p(verb_t(lukin),obj_d(pronoun_interrogative(seme))))))"
1658,"sina lukin e telo jelo, la o moku ala e ona.","s(imp(cond_p(subj_p(pronoun(sina)),pred_p(verb_t(lukin),obj_d((noun(telo),adjective(jelo))))),com(subj_p(interjection(o)),pred_p((verb_t(moku),adverb(ala)),obj_d(pronoun(ona))))))"
1659,sina lukin e tomo e mije seme?,"s(int(whom(subj_p(pronoun(sina)),(pred_p(verb_t(lukin),obj_d(noun(tomo))),obj_d(noun(mije),pronoun_interrogative(seme))))))"
1665,sina moku e moku.,"s(dec(subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
1666,sina moku e moku anu pona e ilo?,"s(int(decision_vp(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku))),conj(anu),pred_p(verb_t(pona),obj_d(noun(ilo)))))))"
1667,sina moku e moku anu seme?,"s(int(or_what(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku))),conj(anu),pronoun_interrogative(seme)))))"
1668,"sina moku e moku, kepeken ilo moku li toki e ni.","s(dec(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku)),obj_p(preposition(kepeken),(noun(ilo),adjective(moku)))),pred_p(pred_p(verb_t(toki),obj_d(pronoun(ni)))))))"
1669,sina moku e moku li toki e toki.,"s(dec(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku))),pred_p(pred_p(verb_t(toki),obj_d(noun(toki)))))))"
1670,"sina moku e moku, li toki e toki.","s(dec(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku))),pred_p(pred_p(verb_t(toki),obj_d(noun(toki)))))))"
1671,"sina moku e moku, lon seme?","s(int(where(subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku)),obj_p(preposition(lon),pronoun_interrogative(seme))))))"
1672,"sina moku e moku, lon tenpo pona seme?","s(int(when_object(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku))),obj_p(preposition(lon),noun(tenpo),adjective(pona),pronoun_interrogative(seme))))))"
1673,"sina moku e moku, lon tenpo seme?","s(int(when_object(subj_p(pronoun(sina)),(pred_p(verb_t(moku),obj_d(noun(moku))),obj_p(preposition(lon),noun(tenpo),pronoun_interrogative(seme))))))"
1682,"sina o, a a a!","s(exc(voc(voca_p(pronoun(sina)),laughing(interjection(a),interjection(a),interjection(a)))))"
1683,"sina o, pakala!","s(exc(voc(voca_p(pronoun(sina)),expletive(noun(pakala)))))"
1684,sina o pona e tomo!,"s(imp(com(subj_p(pronoun(sina)),pred_p(verb_t(pona),obj_d(noun(tomo))))))"
1685,"sina o, seme?","s(int(voc(voca_p(pronoun(sina)),pardon(pronoun_interrogative(seme)))))"
1686,"sina o, sina moku e moku.","s(dec(voc(voca_p(pronoun(sina)),subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku))))))"
1687,"sina o, sina moku e seme?","s(int(voc(voca_p(pronoun(sina)),what_d_object(subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(pronoun_interrogative(seme)))))))"
1689,"sina o, sina olin ala olin e mi?","s(int(voc(voca_p(pronoun(sina)),yes_no(subj_p(pronoun(sina)),pred_p(verb_t(olin),adverb(ala),verb_t(olin),obj_d(pronoun(mi)))))))"
1690,"sina o, sina toki e ni!","s(exc(voc(voca_p(pronoun(sina)),subj_p(pronoun(sina)),pred_p(verb_t(toki),obj_d(pronoun(ni))))))"
1691,"sina o, sina toki e ni.","s(dec(voc(voca_p(pronoun(sina)),subj_p(pronoun(sina)),pred_p(verb_t(toki),obj_d(pronoun(ni))))))"
1692,"sina o, toki!","s(exc(voc(voca_p(pronoun(sina)),salu_p(noun(toki)))))"
1694,sina pakala e seme?,"s(int(what_d_object(subj_p(pronoun(sina)),pred_p(verb_t(pakala),obj_d(pronoun_interrogative(seme))))))"
